model,MAE,MAPE,RMSE
SARIMA,82.7006716560784,9.42528043363503,122.78329593642178
LSTM,98.86853371726141,17.151703749547348,129.17388140505759
TCN,87.92225331351871,9.980031305915375,130.90178157041464
