model,MAE,MAPE,RMSE
SARIMA,69.54477609805724,7.666797729040674,97.82219328930907
LSTM,73.58179360344296,7.853868692380363,101.36236722397167
TCN,78.98965610019745,9.037672502359857,106.07356763299097
