model,MAE,MAPE,RMSE
SARIMA,68.65292801310225,9.095090399015886,92.86160762906232
LSTM,71.8224283400036,9.772335692560773,96.8605621159439
TCN,72.30834045107403,10.424773270354356,96.10546337890851
